آثار	'ASAR
آدم	'AADAM
آراكال	'ARACEL
آسر	'AASER
آصف	'AASEF
آغا	'AAGA
آليك	'ALAIC
آمون	'AAMON
آن	'AAN
آنمار	'AANMER
أبا	'ABA
أبا الحسن	'ABAALHASAN
أبا الخيل	'ABAALKHAIL
أبا الدرداء	'ABA EL DARDA
أبا بكر	'ABA BAKR
أبا زايد	'ABA ZAYED
أبا زيد	'ABA ZAID
أبا يزيد	'ABA YAZEED
أباحسين	'ABA HUSSAIN
أبادي	'ABAADI
أبادير	'ABADEAR
أباصيرى	'ABASERI
أباظة	'ABADA
أباظه	'ABADAH
أباعود	'ABE 'OT
أبانمي	'ABANAME
أبده	'ABEDA
أبر	'ABAR
أبرهيم	'ABRAHAIM
أبش	'ABASH
أبطح	'ABTA
أبكر	'ABCAR
أبهج	'ABHAG
أبو	'ABO
أبو أكرم	'ABU 'AKRAM
أبو أمين	'ABU 'AMIN
أبو أنس	'ABU 'ANAS
أبو أنيس	'ABOU 'ANIS
أبو إبراهيم	'ABU 'IBRAHIM
أبو إدريس	'ABU 'IDRIS
أبو إسحاق	'ABU 'ISHAQ
أبو إسلام	'ABU ISLAM
أبو إمبابى	ABU-IMBABI
أبو اسماعيل	'ABU 'ISMAIL
أبو اصبع	'ABUISBI
أبو الاقبال	'ABU-AL-'IQBAL
أبو الانوار	ABU-AL-NWAR
أبو الباقي	'ABOELBAKI
أبو البر	'ABOLBAR
أبو البصل	'ABU ALBASSAL
أبو التساهيل	ABU-AL-TASAHIL
أبو التوم	'ABOUTAWM
أبو التين	'ABOTTEEN
أبو الثنا	'ABU AL THANA
أبو الجبن	'ABUL-JUBN
أبو الجبين	'ABOULJEBINE
أبو الجدايل	'ABO ALJADAYEL
أبو الجرايش	'ABU ALJARAYESH
أبو الجمايل	ABU-AL-JAMAYIL
أبو الجواد	'ABOU EL JAOUAD
أبو الجود	'ABOLJOUD
أبو الجيبات	'ABU AL JAIBAT
أبو الجير	'ABUL GHEIR
أبو الحاج	'ABU ALHAJ
أبو الحارث	'ABU AL HARITH
أبو الحارس	'ABU AL HARIS
أبو الحج	'ABU EL HAJ
أبو الحجاج	'ABU AL HAJJAJ
أبو الحجل	'ABOU AL HAJAL
أبو الحديد	'ABU AL HADEED
أبو الحسن	'ABU AL HASAN
أبو الحسنات	'ABUL HASANAAT
أبو الحسنى	'ABU-EL HOSNA
أبو الحصن	ABU-AL-HISNI
أبو الحصين	'ABO EL HOSSAIN
أبو الحلا	'ABOUL HALA
أبو الحلقان	ABU-AL-HALQAN
أبو الحمام	'ABOULHAMAM
أبو الحمايد	'ABO EL HAMAIED
أبو الحمايل	'ABU-AL-HAMAYEL
أبو الحمد	'ABU EL HAMED
أبو الحمص	ABU AL-HOMMOS
أبو الحميد	'ABOULHAMID
أبو الحور	'ABOLKHOOR
أبو الحيات	'ABU AL HAYYAT
أبو الخراف	ABU-AL-KHURAF
أبو الخيل	'ABU AL HAIL
أبو الذهب	'ABU AL DHAHAB
أبو الراغب	'ABU AL RAGHEB
أبو الربع	'ABU ALRUB
أبو الرجال	'ABO ALREGAL
أبو الرشته	'ABU RASHTA
أبو الرضا	'ABU-RIDA
أبو الركب	'ABOURAKB
أبو الروس	'ABU AL ROUS
أبو الزبده	'ABU ZUBDA
أبو الزلف	'ABU ALZULUF
أبو الزيت	'ABO ZAID
أبو الزينات	'ABU AZ ZINAD
أبو السادات	'ABOELSAADAT
أبو السباع	'ABOELSEBA
أبو السبح	'ABU ASABEH
أبو السبع	'ABU-ASAB
أبو السرور	'ABU ELSOROUR
أبو السعادات	'ABOELSA'ADAT
أبو السعد	'ABO EL SAAD
أبو السعود	'ABOELSOUD
أبو السكر	'ABU AL SUKKAR
أبو السمح	'ABO AL-SAMH
أبو السميد	'ABUALSAMEED
أبو السندس	'ABU AL SONDOS
أبو السنه	'ABU ASSUNAH
أبو الشامات	'ABO AL SHAMAT
أبو الشعر	'ABU AL SHAER
أبو الشعور	'ABU ASHO'UR
أبو الشكر	'ABOSHOKR
أبو الشوارب	'ABU SHAWAREB
أبو الشيح	'ABOSHI
أبو الشيخ	'ABU SHEIKH
أبو الضباع	'ABODEBE
أبو الضبعات	'ABU-DABAT
أبو الطاهر	'ABU TAHER
أبو العاطى	'ABOL'ETE
أبو العثم	'ABOL'ISSEM
أبو العجايز	'ABU-EL-AJAYEZ
أبو العجوه	'ABUL 'AJWEH
أبو العدب	'ABU AL'EDB
