A BOMB	เอบอมบ์
A LEVEL	เอเลเวล
A-NET	เอเน็ต
A.D.	เอดี
A.E.	เออี
A.G.P.	เอจีพี
A.M.	เอเอ็ม
A.P.	เอพี
AAF	เอเอเอฟ
AAGAARD	อาการ์ด
AAMODT	อามัดต์
AARON	แอรอน
AARONS	แอเริ่นส์
AARS	อาร์ส
AB	แอ๊บ
ABABA	อาบาบา
ABACO	แอบาโก
ABATE	อเบต
ABBAS	อับบาส
ABBASID	อับบาซิด
ABBATE	อับเบท
ABBE	แอ็บบี้
ABBERLEY	แอ็บเบอร์ลีย์
ABBETT	เอิบเบ็ต
ABBEY	แอบบีย์
ABBIATI	แอ็ปบีอาติ
ABBIE	แอ็บบี้
ABBOT	แอ็บเบิต
ABBOTT	แอบบอตต์
ABBOUD	เอิปบูด
ABBY	แอ็บบี้
ABDAL	อับดัล
ABDALLAH	แอ็บแดล่า
ABDELLAH	แอ็บเดลล่า
ABDUL	อับดุล
ABE	เอบ
ABEGG	เออบิก
ABELE	เอบิล
ABELES	เอบิลส์
ABELIAN	อาบีเลียน
ABELL	เอเบิล
ABELLO	แอเบโล้
ABELS	เอเบิลส์
ABELSON	แอบิลสัน
ABEND	แอ็ปเบ็นด์
ABENDROTH	อบินดรอท
ABERCORN	แอเบอร์คอร์น
ABERCROMBIE	แอเบอร์ครอมบี
ABERDARE	แอ็บเบอร์แดร์
ABERDEEN	แอเบอร์ดีน
ABERDOUR	แอเบอร์ดอร์
ABERGAVENNY	แอ็บเบอร์เกิฟเวนนี่
ABERNATHY	แอเบอร์แน็ตที่
ABERT	แอ็บเบิร์ต
ABIDJAN	อาบิดจัน
ABIGAIL	แอบิเกล
ABIJAH	เออบิจา
ABILENE	แอบิลีน
ABINGDON	แอบิงเดิน
ABLAKOV	อับลาคอฟ
ABLE	เอเบิล
ABLER	เอเบอเลอร์
ABLES	เอเบิลส์
ABLON	เอิบเลิน
ABNER	แอ็บเนอร์
ABNEY	แอบนีย์
ABNOR	แอ็บเนอร์
ABOYNE	เอิบบอยน์
ABRAHAM MASLOW	เอบราแฮม มาสโลว์
ABRAHAMS	เอเบรอแฮมส์
ABRAHAMSON	เออแบรเฮิมสัน
ABRAMS	เอเบริมส์
ABRAMSON	เอเบริมสัน
ABRUPT	อะบรัปต์
ABRY	เออบรี้
ABS	เอบีเอส
ABSAROKA	แอบซาโรกา
ABSAROKITE	แอบซาโรไกต์
ABSHIRE	แอ็บไชร์
ABSORB	แอบซอร์บ
ABSORBANCE	แอบซอร์แบนซ์
ABSTRACTION-CREATION	อับสตรักซียงเกรอาซียง
ABSURD	แอบเซิร์ด
ABT	แอ็บท์
ABU DHABI	อาบูดาบี
ABUJA	อาบูจา
ABUSE	อบิวส์
ABY	อาบี้
ABYSSINIA	อะบิสซิเนีย
ABZUG	แอ็บซัก
AC	เอซี
AC/DC	เอซีดีซี
ACACIA	อะเคเชีย
ACADEMY	อะคาเดมี
ACADEMY AWARD	อะคาเดมีอวอร์ด
ACANTHUS	อะแคนทัส
ACAPULCO	อากาปุลโก
ACCELERATOR	แอคเซเลอเรเตอร์
ACCESS	แอกเซส
ACCESSORY	แอกเซสซอรี
ACCIDENT	แอกซิเดนต์
ACCORDION	แอกคอร์เดียน
ACCOUNT EXECUTIVE	แอกเคานต์เอเซกคิวทีฟ
ACCRA	อักกรา
ACEBO	เอเซอโบ
ACEL	เอเซิล
ACER	เอเซอร์
ACETATE	แอซีเทต
ACETIC	อะซีติก
ACETONE	แอซิโตน
ACETYLCHOLINE	อะเซทิลโคลีน
ACETYLCHOLINE ESTERASE	อะเซทิลโคลีน เอสเทอเรส
ACETYLENE	อะเซทิลีน
ACH	เอซีเอช
ACHATZ	แอเคิตส์
ACHEAMENID	อะคีเมนิด
ACHER	แอเคอร์
ACHERON	แอ็กเคริน
ACHESON	แอชิสัน
ACHIEVEMENT	อะชีฟเมนต์
ACHILLES	อคิลลิส
ACHROMATIC LENS	อะโครมาติกเลนส์
ACHROMOBACTER	อะโครโมแบคเทอร์
ACHTER	แอ็กเตอร์
ACID	แอซิด
ACID TAR	แอซิดทาร์
ACKERLY	แอเคอร์ลี่
ACKERMAN	แอ็กเคอร์เมิน
ACKERMANN	แอ็กเคอร์เมิน
ACKLAND	แอ็กเลิ่นด์
ACKLEN	แอ็กเคอเลิ่น
ACKLEY	แอ็กลีย์
ACKLIN	แอ็กลิน
ACKROYD	แอ็กครอยด์
ACLAND	อักเลินด์
ACLINIC	อะคลินิก
ACME	แอกเม
ACMITE	แอกไมต์
ACOSTA	อคอสต้า
ACOUSTIC	อะคูสติก
ACRE	เอเคอร์
ACRE-FOOT	เอเคอร์-ฟุต
ACREE	เออครี
ACRITARCH	อาคริทาร์ช
ACROPOLIS	อะโครโพลิส
ACROSOME	อะโครโซม
ACRYLIC	อะคริลิก
ACRYLIC RESIN	อะคริลิกเรซิน
ACT	แอ็ก
ACTIN	แอกทิน
ACTING	แอกติง
ACTINIDE	แอกทิไนด์
ACTINIUM	แอกติเนียม
ACTINOLITE	แอกทิโนไลต์
ACTINOMYCETES	แอกติโนไมซีสต์
ACTION	แอกชัน
ACTIVATED SLUDGE	แอกทิเวเต็ดสลัดจ์
ACTIVE	แอกทิฟ
ACTIVIST	แอกติวิสต์
ACTIVITY	แอกทิวิตี
ACTON	แอกตัน
ACU	เอซียู
ACWORTH	เอิกเวิร์ท
AD	แอด
AD CARD	เอดีการ์ด
ADA	อาดา
ADAH	แอด้า
ADAIR	อแดร์
ADALBERT	ออดอลเบิร์ต
ADAM	แอดัม
ADAMEC	เออดามิก
ADAMELLITE	อะดาเมลไลต์
ADAMI	อาดามี่
ADAMIC	แอดแดมิก
ADAMKUS	แอ็ดเดิมคัส
ADAMS	แอดัมส์
ADAMS, BRYAN	แอดัมส์, ไบรอัน
ADAMS, JOHN	แอดัมส์, จอห์น
ADAMS, JOHN QUINCY	แอดัมส์, จอห์น ควินซี
ADAMS, SCOTT	แอดัมส์, สกอตต์
ADAMSON	แอเดิมสัน
ADANK	ออดังก์
ADAPT	อะแดปต์
ADAPTER	อะแดปเตอร์
