ABASHIRI	網走
ABE	安倍
ABENO	阿倍野
ABIKO	安孫子
ABIRU	安蒜
ABO	安保
ABOSHI	網干
ABU	阿武
ABUKAWA	虻川
ABURAI	油井
ABURAYA	油谷
ACHIWA	阿知波
ADACHI	安立
ADEGAWA	阿出川
ADEKAWA	阿出川
ADUO	阿多
AEBA	饗場
AERI	愛絵理
AGATA	安形
AGATSUMA	吾妻
AGAWA	阿川
AGEISHI	上石
AGEMATSU	上松
AGEO	上尾
AGURI	亜久里
AHIRU	阿比留
AI	亜唯
AIBA	相場
AICHI	愛知
AIDA	会田
AIGA	相賀
AIHARA	相原
AIISO	相磯
AIJIMA	相島
AIJIRO	愛次郎
AIKAWA	会川
AIKI	相木
AIKO	亜依子
AIMOTO	相本
AINO	愛野
AINOSUKE	愛之助
AINOYA	相野谷
AIOI	相生
AISAKU	愛作
AISAWA	逢沢
AISO	相磯
AIUCHI	相内
AIURA	相浦
AIYAMA	相山
AIZAWA	会沢
AIZO	愛三
AIZUBANGE	会津坂下
AIZUHONGO	会津本郷
AIZUTAKADA	会津高田
AIZUWAKAMATSU	会津若松
AJIKI	安食
AJIMA	安島
AJIMU	安心院
AJINOSUKE	味之助
AJIOKA	味岡
AJIRO	網代
AJISAKA	鯵坂
AKABA	赤羽
AKABANE	赤羽
AKABIRA	赤平
AKABORI	赤堀
AKABOSHI	赤星
AKADA	赤田
AKAGAWA	赤川
AKAGI	赤城
AKAGIRI	赤桐
AKAHA	赤羽
AKAHANE	赤羽根
AKAHIRA	赤平
AKAHO	赤穂
AKAHOSHI	赤星
AKAI	赤井
AKAIKE	赤池
AKAISHI	赤石
AKAIWA	赤岩
AKAKABE	赤壁
AKAMA	赤間
AKAMAGASEKI	赤間関
AKAMATSU	赤松
AKAMINE	赤峯
AKANE	茜
AKANUMA	赤沼
AKAO	赤尾
AKAOGI	赤荻
AKARI	明香里
AKARU	耀
AKASAKA	赤坂
AKASE	赤瀬
AKASHI	明石
AKASHINA	明科
AKASO	赤楚
AKASU	赤須
AKATA	赤田
AKATSU	赤津
AKATSUKA	赤塚
AKAYAMA	赤山
AKAZAKI	赤崎
AKAZAWA	赤沢
AKEKO	明子
AKEMI	明実
AKENO	明野
AKESHI	明史
AKETA	明田
AKI	亜季
AKIBA	秋場
AKIE	彰恵
AKIFUMI	彰史
AKIGAWA	秋川
AKIHARU	昭春
AKIHEI	秋平
AKIHIDE	彰英
AKIHIKO	亜紀彦
AKIHIRO	彰博
AKIHISA	彰久
AKIHITO	彰人
AKIHO	明穂
AKIIKE	秋池
AKIKAZU	彰一
AKIKIMI	彰公
