丁	din
丁伍迪	dinwoodey
丁伯格	dinberg
丁克尔	duenkel
丁克迈耶	dinkmeyer
丁利	dingley
丁南	dinneen
丁吉	dinghy
丁吉万	dingivan
丁威迪	dinwiddie
丁宁	dinning
丁布尔比	dinbleby
丁斯代尔	dinsdale
丁斯莫尔	dinsmoor
丁曼	dingman
丁林格	dinglinger
丁格	dinger
丁格尔	dingell
丁格尔代因	dingeldein
丁格尔施泰特	dingelstedt
丁肖	dinshaw
丁金	dinkin
丁金斯	dinkins
万塔夫	wantaff
万奇尼	vancini
万尼	vanni
万尼斯基	wanniski
万尼瓦尔	vannevar
万巴赫	wambach
万德	wand
万德雷尔	wanderer
万斯	vance
万斯伯勒	wansborough
万普勒	wampler
万格	wanger
万特兰	wantland
万纳	wanner
万维格	wanvig
万茨	wantz
万蒂奇	wantage
万达	wanda
不来梅港	bremerhaven
丘	chew
丘伯尔	cuber
丘克	cukor
丘利	kewley
丘奇	church
丘奇曼	churchman
丘嫩	kunen
丘宁	chewning
丘尔	culle
丘彻	churcher
丘恩	chunn
丘普	chupp
丘普卡	chupka
丘林	culin
丘比特	cubitt
丘特	chute
丘特尔	chuter
丘纳德	cunard
丘罗	curoe
丘萨克	cusack
丘诺	kuneau
丘赫莱	churhelleh
丘顿	churton
东	tong
东布雷克特	dombrecht
东德雷尔	donderer
丰伯尔	fombeure
丹	dan
丹乔	danco
丹佛	denver
丹克沃茨	danckwerts
丹克特	dankert
丹内	dimnet
丹内利	dannelly
丹内曼	dannemann
丹内迈耶	dannemeyer
丹吉尔	tangier
丹吉洛	dangelo
丹夸	danquah
丹奈	dannay
丹嫩鲍姆	dannenbaum
丹宁	dennin
丹尼	danny
丹尼克	denike
丹尼利	danielli
丹尼利恩	danielian
丹尼厄斯	denious
丹尼尔	daniel
丹尼尔斯	daniells
丹尼尔森	danielson
丹尼斯	denis
丹尼斯顿	denniston
丹尼格	denig
丹尼欧	denio
丹尼洛夫	daniloff
丹尼特	denit
丹布伦特	danbrunt
丹布罗西奥	dambrosio
丹布鲁梅尼尔	dambrumenil
丹廷	dantin
丹弗斯	danvers
丹德尔斯	daendels
丹德罗	dandrow
丹德里奇	dandridge
丹恩	dann
丹斯	dance
丹杰菲尔德	dangerfield
丹根	dangan
丹格勒	dangler
丹格迈耶	danglmayer
丹森	dinesen
丹比	danby
丹沃斯	danworth
丹特	danter
丹特斯	dantes
丹瑟	dancer
丹皮尔	dampier
丹福德	danford
丹福斯	danforth
丹纳	danner
丹罗伊特	dannreuther
丹菲尔德	danfield
丹蒂	dante
丹西	dancy
丹豪泽	danhauser
丹迪	dandy
丹霍夫	danhof
丹顿	dainton
丹齐克	danzig
丹齐格	danziger
丽卡	rika
丽塔	rita
久尔	gyure
久拉斯	duras
久雷斯库	giurescu
乌伦霍普	uhlenhop
乌伯伊斯	ubois
乌兰诺娃	ulanova
乌切洛	uccello
乌利伊希亚拉	uliihiala
乌利斯	ouless
乌加特	ugarte
乌古乔内	uguccione
乌哈利	uhalley
乌奇	ouchi
乌姆弗勒维尔	umfreville
乌姆弗拉维尔	umfraville
乌姆斯	ooms
乌姆斯特德	umstead
乌姆赫弗	umhoefer
乌尔	uhr
乌尔伯格	ulberg
乌尔夫	ulf
乌尔巴内克	urbanek
乌尔巴塞克	urbasek
乌尔巴赫	urbach
乌尔德	ould
乌尔斯坦	ullstein
乌尔斯滕	ullsten
乌尔施普龙	ursprung
乌尔曼	uhlmann
乌尔米拉	urmila
乌尔维林	ulveling
乌尔西努斯	ursinus
乌尔里克	ullrich
乌巴尔迪	ubaldi
乌巴尔迪尼	ubaldini
乌布拉杜	oubradous
乌恰纳	utchanah
乌戈	ugo
乌拉姆	ulam
乌拉武鲁	urraburu
乌拉辛斯基	ulasinski
乌斯利	ouseley
乌斯曼	usman
乌斯韦特	outhwaite
乌普达尔	uppdal
乌曼斯基	umansky
乌林斯基	ulinski
乌欣	ukhin
乌沙科夫	ushakov
乌特劳特	utlaut
乌特勒姆	outram
乌特里奇	uttridge
乌登代克	oudendyk
乌皮特	upit
乌纳努埃	unanue
乌茨	ouzts
乌莱维奇	ulevich
乌蒂茨	utitz
乌诺	uno
乌贝尼斯	urbainis
乌费尔曼	uffelman
乌赫德	uhde
乌迪诺	oudinot
乌里	oury
乌雷茨	uretz
乌韦	uwe
乌马诺	oumano
乔	jo
乔丹	jordan
乔伊	choy
乔伊斯	joice
乔伊特	jowett
乔伊特纳	choitner
