aarti	আরতি
abanikanta	অবনীকান্ত
abantikumar	অবন্তীকুমার
abdulgani	আব্দুলগণি
abdulhai	আব্দুলহাই
abraham	আব্রাহাম
abu	আবু
adam	আডাম
adarshnagar	আদর্শনগর
aires	এয়ার্স
ajgarali	আজগরআলী
ajid	আজিদ
ajitesh	অজিতেশ
akalkot	অকালকট
akhilesh	অখিলেশ
akhtar	আখতার
aki	আকি
akodia	আকোদা
akolner	আকোলনার
aktar	আকতার
aktaribegam	আকতারিবেগম
alexander	আলেকজান্ডার
alexandre	আলেকজান্ডার
algiers	আলজাইয়ারস
alijan	আলিজান
aliraja	আলিরাজা
allahabad	এলাহাবাদ
alma	আলমা
alnavar	আলনাভার
alpana	আলপনা
altria	অলট্রিয়া
aluminiu	অ্যালুমিনিয়াম
alwis	অলুইস
amadeo	আমাদিও
amar	অমর
amarabati	অমরাবতী
ambika	অম্বিকা
amboseli	অ্যাম্বোসেলি
amdekar	আম্বেদকর
america	আমেরিকা
amiral	অ্যালমিরাল
amirulhak	আমিরুলহক
amirun	আমিরুন
amitarani	অমিতারাণী
amravati	অমরাবতি
amrita	অমৃত
amy	অ্যামি
anandakumar	আনন্দকুমার
anandalal	আনন্দলাল
anandpur	আনন্দপুর
anarbibi	আনারবিবি
ancona	আনকোনা
and	অ্যান্ড
andrea	অ্যানদ্রিয়া
anglo	অ্যাংলো
animation	অ্যানিমেশন
anindya	অনিন্দ
anita	অনীতা
anjuman	আঞ্জুমন
annavaram	আন্নাভারম
annigeri	অন্নিগেরী
antara	অন্তরা
anthony	আনথোনি
antim	অন্তিম
anumita	অনুমিতা
aparnarani	অপর্ণারাণী
arakoni	আরাকোনি
araria	আরারিয়া
arbon	আর্বন
archita	অর্চিতা
aritra	অরিত্র
ark	আর্ক
armenian	আর্মেনিয়ান
arunabha	অরুনাভ
arunkrishan	অরুনকৃষ্ণ
ashakumari	আশাকুমারী
ashtekar	আশতেকার
asian	এসিয়ান
asmat	আসমত
asmatara	আসমাতারা
asnoti	আসনোতি
asrafali	আশরফআলী
asso	অ্যাসো
astrazeneca	অ্যাসট্রাজেনেকা
asturias	অস্টুরিয়াস
asuncion	আসুনসিওন
atalbihari	অটলবিহারী
ateli	অটেলি
atre	আত্রে
aucre	অউক্রি
augusta	আগাস্ত
aviv	আভিভ
baba	বাবা
babaji	বাবাজী
babel	বাবেল
baburam	বাবুরাম
baddinath	বদ্দিনাথ
bader	বাদের
badirun	বদিরুন
badrun	বদরুন
bahari	বাহারি
bairagi	বৈরাগী
baktar	বক্তার
balahari	বলহরি
balance	ব্যালেন্স
balasore	বালাসোর
balkrishna	বালকৃষ্ণ
baluran	বালুরান
bamanheri	বামানহেরি
banas	বানাস
bancarella	বাঙ্কারেলা
bandan	বন্দন
bandanwara	বানদানওয়ারা
bandhana	বন্ধনা
bani	বনি
banibrata	বানীব্রত
baniram	বনিরাম
bantawala	বনতয়ালা
baosteel	বায়োস্টীল
baraminya	বড়মিঞা
barin	বারীন
barnali	বনার্লী
barrancas	ব্রানকাস
barrington	বারিঙ্গটোন
barwadih	বারবাদিহ
basirali	বসিরআলি
baskin	বাস্কিন
batasi	বাতাসি
baumgarten	বাউমগার্টেন
beach	বীচ
bechirani	বেচীরানী
believers	বিলিভার্স
bell	বেল
belmuni	বেলমুনি
belpre	বেল্পে
belvandi	বেলভানদি
berger	বার্জার
berhampur	বেরহমপুর
bethany	বিথানী
bette	বেটি
bhaba	ভব
bhabanishankar	ভবানীশঙ্কর
bhabhar	ভাবার
bhadan	ভাদান
bhadrakh	ভদ্রক
bhadru	ভদরু
bhagabandas	ভগবানদাস
bhaktapada	ভক্তপদ
bhaktibala	ভক্তিবালা
bhakucharan	ভাকুচরণ
bhanucharan	ভানুচরণ
bharadwaj	ভরতদাজ
bharatkumar	ভরতকুমার
bharatlal	ভরতলাল
bharatmuni	ভরতমুনি
bhatpar	ভাতপার
bhatsa	ভাটসা
bhimal	ভিমল
bhinda	ভীন্দা
bhonsle	ভোঁসলে
bhubaneswari	ভূবনেশ্বরী
bhudhar	ভূধর
bhulon	ভূলোন
bhupal	ভূপাল
bhupandra	ভুপেন্দ্র
bhutti	ভূট্টি
bialik	বিয়ালিক
bibha	বিভা
bidhanchandra	বিধানচন্দ্র
bieszczady	বেয়িস্কজ্যাডি
bijalirani	বিজলীরাণী
bijaysota	বিজয়সোটা
bijoor	বিজোযর
bijuli	বিজুলী
bijuri	বিজুরি
bikash	বিকাশ
bike	বাইক
bimaladevi	বিমলাদেবী
bipattaran	বিপত্তারণ
biren	বীরেন
birmitrapur	বীরমিত্রপুর
bishakha	বিশাখা
bishenpur	বিশেনপুর
bismila	বিসমল্লা
biswan	বিসওয়ান
biyavra	বিযাভরা
blackwell	ব্লাকওয়েল
blain	ব্লেন
blake	ব্লেক
bluenose	ব্লুনোস
bnk	ব্যাঙ্ক
bodhani	বোধনী
boisar	বৈসার
bolero	বেলেরো
bombay	বৌম্বে
bonnai	বোনাই
bordi	বোরডি
borjahan	বোরজাহান
bosch	বশ
bourdieu	বোরদিউ
boyce	বয়েসে
brasschaet	ব্রাসচেট
bratislava	ব্রাতিস্লভা
brijmohan	ব্রিজমোহন
brucklay	বার্কলে
brunei	ব্রুনেই
budaram	বুড়ারাম
budhu	বুদ্ধু
buju	বুজু
bujubala	বুজুবালা
buka	বুকা
bulandshahr	বুলন্দশার
bulni	বুলনী
buribala	বুড়ীবালা
burlington	বার্লিংটন
burnpur	বার্নপুর
busch	বাসচ
cactoctin	কাকটোকটিন
cairns	কিরন্স
calvin	কেলভিন
campaigns	ক্যাম্পেন্স
cansaulim	ক্যানসাউলিম
cape	কেপ
capuzzo	কাপুজ্জ
caribe	ক্যারিবি
carlisle	কার্লিসলে
carroll	ক্যারোল
carson	কারসন
cathy	ক্যাথে
century	সেঞ্চুরী
ceramics	সেরিমিস
chaiti	চৈতি
chakulia	চাকুলিয়া
champlain	চ্যামপ্লেন
chandankumar	চন্দনকুমার
chandil	চান্ডিল
chandmahamad	চাঁদমহমদ
chandradebi	চন্দ্রাদেবী
chapada	চাপাদা
charbatia	চারবাটিয়া
chaukhandi	চৌখানডি
chausa	চৌসা
chemicals	কেমিক্যালস
chemin	চিমিন
chennai	চেন্নাই
cheranmahadevi	চেরানমহাদেবী
cheung	চিউং
chhau	ছৌ
chhugani	ছুগানি
chigumbura	চিগুম্বুরা
chikjajur	চিকজাজুর
chiknaikanahalli	চিকনাইকানাহাল্লি
chile	চিলি
china	চায়না
chital	চিতল
chosla	চোসলা
chrysler	ক্রিসলার
cipicung	সিপিচুং
citygroup	সিটিগ্রুপ
cocacola	কোকাকোলা
coleridge	কোলরিজ
colonelganj	কলোনেলগঁঞ্জ
comedy	কমেডী
congregation	কংগ্রেগেশান
connolly	কোন্নোল্লি
continental	কন্টিনেন্টাল
coolagh	কুলাঘ
corbett	করবেট
corgi	কোর্জি
corridos	কোরিডস
cosier	কাসির
crazy	ক্রেজি
