aabye	奥比
aagaard	埃格德
aaldrin	奥尔德林
aall	奥尔
aallibone	阿利本
aalto	阿尔托
aamodt	阿莫特
aandahl	安达尔
aarloon	阿隆
aarnabe	阿纳比
aaron	阿伦
aaronian	阿罗尼安
aarons	阿伦斯
aaronson	阿伦森
aars	阿尔斯
aarvold	阿沃尔德
aase	奥瑟
aasgaard	奥斯格德
aawick	阿威克
abadan	阿巴丹
abady	阿巴迪
abarbanel	阿巴伯内尔
abare	阿贝尔
abastenia	阿巴斯蒂尼亚
abate	阿巴特
abayomi	阿巴约米
abbadessa	阿巴德萨
abbadie	阿巴迪
abbate	阿巴特
abbe	阿贝
abbel	阿贝尔
abbell	阿贝尔
abbels	阿贝尔斯
abberley	阿伯利
abbett	阿贝特
abbey	阿比
abbiati	阿比亚蒂
abbie	阿比
abbink	阿宾克
abbiss	阿比斯
abbitt	阿比特
abbot	阿伯特
abbott	阿伯特
abboud	阿布德
abbuhl	阿布尔
abby	阿比
abdallah	阿卜杜拉
abdellah	阿卜杜拉
abdian	阿布迪恩
abdnor	阿布德诺
abdullah	阿卜杜拉
abdy	阿布迪
abe	阿贝
abebe	阿贝贝
abegg	阿贝格
abegglen	阿贝格伦
abel	阿布尔
abele	阿伯利
abeles	阿伯利斯
abell	阿布尔
abello	阿贝洛
abeloff	阿贝洛夫
abelow	阿比洛
abels	阿布尔斯
abelson	埃布尔森
abend	阿本德
abendroth	阿本德罗思
aberconway	阿伯康韦
abercorn	阿伯康
abercrombie	阿伯克龙比
abercromby	阿伯克龙比
aberdare	阿伯代尔
aberdeen	阿伯丁
aberdour	阿伯道尔
abergavenny	阿伯加文尼
aberle	阿伯利
abern	阿本
abernathy	阿伯内西
abernethy	阿伯内西
abersfeller	阿伯斯费勒
abert	阿贝特
abiathar	阿拜亚撒
abigail	阿比盖尔
abijah	阿拜甲
abingdon	阿宾登
abinger	阿宾杰
abkowitz	阿布科维茨
ablard	阿布拉德
able	阿布尔
abler	阿布勒
ables	阿布尔斯
ablewhite	阿布尔怀特
ablin	阿布林
ablon	阿布隆
ablondi	阿布隆迪
abmanson	阿曼森
abner	阿布纳
abney	阿布尼
abnor	阿布诺
aborn	阿伯恩
abourezk	阿布雷兹克
abovyan	阿博维扬
aboyne	阿伯因
abplanalp	阿普拉纳尔普
abrahall	阿布拉霍尔
abraham	亚伯拉罕
abrahams	亚伯拉罕斯
abrahamson	亚伯拉罕森
abram	艾布拉姆
abramowitz	阿布拉莫维茨
abramowski	阿布拉莫夫斯基
abrams	艾布拉姆斯
abramson	艾布拉姆森
abrasimov	阿布拉西莫夫
abrendt	阿伦特
abrikosov	阿布里科索夫
abruzzo	阿布鲁佐
abry	阿布里
abshire	阿布希尔
abt	阿布特
abthorpe	阿布索普
abuse	阿比斯
aby	阿比
abzug	阿布朱格
acadory	阿卡多里
accettura	阿塞图拉
acclestone	阿克尔斯通
accra	阿克拉
ace	埃斯
acebo	埃斯伯
acel	阿塞尔
acer	阿瑟
achard	阿哈德
achates	阿凯蒂斯
achatz	阿卡兹
achelis	阿基利斯
achenbach	阿肯巴克
acher	阿克
acheron	阿克龙
acherson	阿克森
acheson	艾奇逊
achhammer	阿查默
achilles	阿基利斯
achinstein	阿钦斯坦
achonry	阿肯里
achor	埃科尔
achorn	埃科恩
