aadikavi	आदिकवि
aadinaraayan	आदिनारायण
aahlad	आह्लाद
aaj ki dhara	आज की धारा
aanandmayi	आनंदमयी
aandhiyan	आँधियाँ
aanisah	आनिसाह
aarti industrie	आरती इंडस्ट्री
aashiq	आशिक
aayushmati	आयुष्मति
abdul gaffaar	अब्दुल गफ्फार
abdul hayy	अब्दुल हय
abdul kabeer	अब्दुल कबीर
abdul majid	अब्दुल मजीद
abdul qaadir	अब्दुल कादिर
abdul wajeed	अब्दुल वजीद
abdus saami	अब्दुस सामी
abdus samad	अब्दुस समद
abhaynandaa	अभयनन्दा
abhijaat	आभिजात
abhilaasha	अभिलाषा
abhilashaa	अभिलाषा
abhimani	अभिमणि
abhrakasin	अभ्रकसिन
abnoor	अबनूर
abrahams	अब्राहम्स
abrash	अबराश
achanak	अचानक
achand	अचंद
acharyasuta	आचार्यसुता
acharynandana	आचार्यनंदना
achyutaray	अच्युतराय
achyutraay	अच्युतराय
adalat	अदालत
adam dale	एडम डेल
adas road	आदस रोड
adesar	अदेसर
adheera	अधीरा
adriano	एड्रियानो
afasara	अफसरा
afeerah	अफीराह
aflatoon aurat	अफलातून औरत
agaalia	अगालिया
agasod	अगासोद
ahad	आहड
ainsley	ऐंस्ले
ajatashatru	अजातशत्रु
ajay	अजय
ajitaabh	अजिताभ
akola	अकोला
alaia	अलाइया
alampur nava brahma	अलामपुर नावा ब्रह्मा
alan hurst	एलन हर्स्ट
albina	अल्बिना
aldan	एल्डन
alexander agassiz medal	अलेक्ज़ेंडर अगासीज़ मेडल
algawan	अल्गावन
allahabad	इलाहाबाद
almirante latorre	अल्मीरेंट लेटौर
alniya	अलनिया
alok kapali	आलोक कपाली
amalesh	अमलेश
amalner	अमलनेर
amandeep	अमनदीप
amar shaheed	अमर शहीद
ambikaa	अंबिका
american legion	अमेरिकन लेजन
amol	अमोल
amrita	अमृता
amurt	अमूर्त
anand ashram	आनंद आश्रम
anandinee	आनंदिनी
anantpur	अनन्तपुर
anastacia	एनेस्टेसिया
anatole	अनातोली
andrea doria	एन्ड्रीया डोरिया
angad	अंगद
angelo	एंजेलो
anjalee	अंजली
anjanee	अंजनी
anjasa	अंजसा
annavaram	अन्नावरम
annigeri	अन्नीगेरी
anokha rishta	अनोखा रिश्ता
anou achra lemoun	अनाउ एचरा लेमोन
anuttam	अनुत्तम
anwar hossain	अनवर हुसैन
anwesha	अन्वेशा
aon centre	एऑन सेन्टर
apmaan	अपमान
araafaat	अराफात
aragon	एरागन
ariana	एरिएना
aristotle onassis	एरीस्टोटल ओनासि‍स
arlen	अर्लेन
arsenic	आर्सेनिक
arumugan	अरुमुगन
arun	अरुण
arwen	अर्वेन
aryaman	आर्यमान
asbagh	अस्बाग
asha jyoti	आशा ज्योती
ashok leyland	अशोक लीलैंड
ashok malhotra	अशोक मल्होत्रा
atalanta	एटलांटा
atarra	अटारा
ataturk	अतातुर्क
atifa	अतीफा
atrauli road	अत्रौली रोड
atre	अत्रे
atulya	अतुल्य
audubon	ऑडुबोन
augustus	ऑगस्टस
aulad	औलाद
aurat pair ki joti nahin	औरत पैर की जूती नहीं
aurvashey	और्वशेय
austral	ऑस्ट्रल
australian war memorial	ऑस्ट्रेल‍ियन वार मेमोर‍ियल
autom	ऑटम
auyuittuq	औयुइक्ट
avantika	अवंतिका
awaam	आवाम
awatif	अवातिफ
ayodhya	अयोध्या
azadi ke baad	आज़ादी के बाद
azaraqi	अज़राकी
azhar	अज़हर
baabar	बाबर
baalaajee	बालाजी
baalagopal	बालगोपाल
baalmohan	बालमोहन
baankebihaaree	बांकेबिहारी
babenburg	बाबेनबर्ग
babrala	बाब्रला
bachhrawan	बछरावन
badampudi	बादामपुड़ी
bade dilwala	बड़े दिलवाला
bade ghar ki bahu	बड़े घर की बहू
badla aur balidan	बदला और बलिदान
badr aldin	बद्र अलदीन
bafin	बफ़िन
bahaudeen	बहाउद्दीन
bahia	बहिया
bahiyudeen	बहियुद्दीन
baht	बहट
bakeer	बकीर
balachandra	बालचंद्र
balance beam	बैलेंस बीम
balavan	बलवान
balharshah	बल्हारशाह
balvir	बलवीर
banamala	बनमाला
bandhan bahon ka	बंधन बाँहों का
bandoneon	बैंडोनियन
bankebihaari	बांकेबिहारी
bankura	बांकुरा
bapatla	बापत्ला
baqir	बाकिर
barbados	बार्बडोस
bargarh road	बारगढ़ रोड
barkur	बरकर
barlai	बरलाई
barnett	बार्नेट
barrow	बैरॉ
basar	बसर
basimah	बसिमाह
baske	बस्के
baskin robins	बस्किन रॉबिन्स
bass strait	बास स्ट्रेट
bawa muhaiyaddeen	बाबा मुहइयाद्दीन
bayard cove fort	बेयार्ड कोव फोर्ट
bazpur	बाज़पुर
beas	ब्यास
bedreddin	बेद्रेद्दीन
beesvi sadi	बीसवी सदी
bellsouth	बेलसाउथ
benbow	बेनबॉ
berde	बेर्डे
betelsmann	बेटल्समन
betwa	बेतवा
bewafa	बेवफ़ा
bhaanoo	भानू
bhaanumukhee	भानुमुखी
bhadohi	भदोही
bhagalpur	भगलपुर
bhagavaan	भगवान
bhagwanpur	भगवानपुर
bhagyaraj	भाग्यराज
bhanesh	भानेश
bhapa	भापा
bhatia	भाटिया
bhatiya	भटिया
bhatkar	भाटकर
bhimashankar	भीमाशंकर
bhiwani	भिवानी
bhopal junction	भोपाल जंक्शन
bhugaon	भुगांव
bijli aur toofan	बिजली और तूफ़ान
bijoor	बिजूर
bilhar ghat	बिलहार घाट
biltstraat	बिल्टस्ट्राट
binata	बिनता
binnaguri	बिनागुरी
bir bikrom	बीर बिक्रोम
birju ustad	बिरजू उस्ताद
bishnathganj	बिशनाथगंज
bissau	बिसौ
biswan	बिसवान
black mail	ब्लैक मेल
block island	ब्लॉक आइलैंड
blue ridge parkway	ब्ल्यू रिज पार्कवे
bombo	बॉम्बो
boteju	बोतेजू
botetourt	बॉटेटोर्ट
botha	बोथा
bouvet	बॉवेट
brian lara	ब्रायन लारा
brooke walker	ब्रूक वॉकर
bruce blair	ब्रूस ब्लेअर
brule	ब्रूल
bukit barisan selatan	बुकिट बरीसन सेलटन
buldhana	बुलढाणा
bullen	बूलन
burbara bush	बारबरा बुश
busayrah	बुसयराह
