a'ishah	அ'யிஷா
aa gale lag ja	ஆ கலே லாக் ஜா
aa'idah	ஆ'தா
aabheer	ஆபீர்
aabidah	ஆபிதா
aabirah	ஆபிரா
aabish	ஆபிஷ்
aabroo	ஆப்ரூ
aabshar	ஆப்ஷர்
aachaaraya	ஆசாரயா
aachaaryanandana	ஆசார்யானான்தனா
aachaaryanandanaa	ஆசார்யானான்தனா
aachaaryasuta	ஆசார்யாசுதா
aachaarynandan	ஆசார்யனான்தன்
aachaarysutaa	ஆசார்யாசுதா
aacharya	ஆசார்யா
aacharyanandana	ஆசார்யானான்தனா
aacharyanandanaa	ஆசார்யானான்தனா
aacharyasut	ஆசார்யாசுத்
aacharysuta	ஆசார்யாசுதா
aacharysutaa	ஆசார்யாசுதா
aachwal	ஆச்வல்
aadam	ஆதம்
aadamkhor	ஆதம்கோர்
aadarsh	ஆதர்ஷ்
aadarsha	ஆதர்ஷா
aadha	ஆதா
aadharshila	ஆதர்ஷிலா
aadhi roti	ஆதி ரோட்டி
aadikavi	ஆதிகவி
aadil	ஆதில்
aadimurti	ஆதிமூர்த்தி
aadinaaraayan	ஆதினாராயன்
aadinaath	ஆதினாத்
aadinarayan	ஆதினாராயன்
aadinath	ஆதினாத்
aadishvar	ஆதிஷ்வர்
aaditya	ஆதித்யா
aadityakeshav	ஆதித்யாகேஷவ்
aadityanandan	ஆதித்யானன்தன்
aaditykeshav	ஆதித்யாகேஷவ்
aaditynandan	ஆதித்யானன்தன்
aadmi	ஆத்மி
aadmi aur apsara	ஆத்மி அவுர் அப்சரா
aadmi sadak ka	ஆத்மி சதக் கா
aafreen	ஆஃப்ரீன்
aag	ஆக்
aag aur shola	ஆக் அவுர் ஷோலா
aag ka toofan	ஆக் கா தூஃபன்
aag ke sholay	ஆக் கே ஷோலே
aag lago do sawan ko	ஆக் லகோ தோ சவன் கோ
aagale	ஆகலே
aagashe	ஆகாஷ்
aage badho	ஆகே படோ
aage ki soch	ஆகே கி சோச்
aagney	ஆக்னே
aahlaad	ஆஹ்லாத்
aahlaadit	ஆஹ்லாதித்
aahlad	ஆஹ்லாத்
aahwaanit	ஆஹ்வானித்
aahwanit	ஆஹ்வானித்
aaina	ஆய்னா
aaj ka robinhood	ஆஜ் கா ராபின்ஹூட்
aaj ki awaaz	ஆஜ் கி ஆவாஸ்
aaj ki baat	ஆஜ் கி பாத்
aaj ki duniya	ஆஜ் கி துனியா
aaja meri jaan	ஆஜா மேரி ஜான்
aajaad	ஆஜாத்
aajinky	ஆஜிங்கி
aajinkya	ஆஜிங்கியா
aakaash	ஆகாஷ்
aakar	ஆகார்
aakarshan	ஆகர்ஷன்
aakasha	ஆகாஷா
aakhir kyon	ஆகிர் கியோன்
aakhri adalat	ஆக்ரி அதாலத்
aakhri baazi	ஆக்ரி பாஸி
aakhri cheekh	ஆக்ரி சீக்
aakhri goli	ஆக்ரி கோலி
aakhri khat	ஆக்ரி காத்
aakhri raasta	ஆக்ரி ராஸ்தா
aakhwe	ஆக்வே
aakrosh	ஆக்ரோஷ்
aalam	ஆலாம்
aalha udal	ஆல்ஹா உதல்
aalhad	ஆல்ஹாத்
aalim	அலிம்
aalimah	ஆலிமா
aalingan	ஆலிங்கன்
aalok	ஆலோக்
aamer malik	ஆமீர் மாலிக்
aaminah	ஆமினா
aamirah	ஆமிரா
aamne	ஆம்னே
aan aur shaan	ஆன் அவுர் ஷான்
aan milo sajna	ஆன் மிலோ சாஜ்னா
aanandamayee	ஆனந்தமாயீ
aanandini	ஆனந்தினி
aanandit	ஆனந்தித்
aanandmayee	ஆனந்தமாயீ
aanandmayi	ஆனந்தமாயி
aanchal	ஆன்சல்
aandhi aur toofan	ஆந்தி அவுர் தூஃபன்
aandhi toofan	ஆந்தி தூஃபன்
aangan ki kali	ஆன்கன் கி காளி
