aabish	ஆபிஷ்
aachaaryasuta	ஆசார்யாசுதா
aacharya	ஆசார்யா
aadarsha	ஆதர்ஷா
aadikavi	ஆதிகவி
aadityanandan	ஆதித்யானன்தன்
aag ke sholay	ஆக் கே ஷோலே
aaj ka robinhood	ஆஜ் கா ராபின்ஹூட்
aajaad	ஆஜாத்
aakhri adalat	ஆக்ரி அதாலத்
aalhad	ஆல்ஹாத்
aanandini	ஆனந்தினி
aandhi toofan	ஆந்தி தூஃபன்
aasimah	ஆஸிமா
abbaasee	அப்பாஸீ
abdul mannaan	அப்துல் மன்னான்
abdul muqit	அப்துல் முக்கித்
abdul muqsit	அப்துல் முக்சித்
abdul nafee	அப்துல் நாஃபீ
abdul rabb	அப்துல் ராப்
abdus	அப்துஸ்
abhijit kale	அபிஜித் கேல்
abhiveer	அபிவீர்
abjayoni	அப்ரயோனி
acharyanandana	ஆசார்யானான்தனா
acharyasuta	ஆசார்யாசுதா
achintya	அச்சின்டியா
adalarasu	ஆடலரசு
adeel	அதீல்
adelle	அடெல்
adie	ஆடி
adikavi	அதிகவி
adinaath	அதினாத்
adity	அதிதி
adway	அத்வே
afasara	அஃபசாரா
aflatoon	அஃப்லதூன்
agarkar	அகர்கர்
agartala	அகர்டாலா
agastya	அகஸ்தியா
agatha	அகாதா
agori khas	அகோரி காஸ்
agosh	ஆகோஷ்
agra road	ஆக்ரா ரோட்
ahmed yesevi	அஹ்மத் யெஸெவி
aislin	ஐஸ்லின்
ajanta	அஜந்தா
ajmani	அஜ்மானி
ajooba	அஜூபா
akhfash	அக்ஃப்பாஷ்
akhlaaq	அக்லாக்
akhtiyaar	அக்தியார்
akmal	அக்மல்
akolner	அகோல்னர்
aksh	அக்ஷ்
alaka	அலாகா
albeli	அல்பேலி
albert	அல்பர்ட்
albert pinto ko gussa kyon ata hai	ஆல்பெர்ட் பின்டோ கோ குஸ்ஸா கியோன் அதா ஹை
albie morkel	அல்பீ மோர்கெல்
alcatel	அல்கட்டல்
aleemaa	அலீமா
alicante	அலிகன்டே
altair	அல்டைர்
amadeus	அமதேஸ்
amadhya	அமாத்யா
amanda	அமாண்டா
amandip	அமன்திப்
amareek	அமாரீக்
amarjit	அமர்ஜித்
amatullah	அமாடுல்லா
ambup	அம்புப்
ameeri gareebi	அமீரி கரீபி
amitrasah	அமித்ராசா
amol	அமோல்
amoolya	அமூல்யா
amorina	அமோரினா
amrik	அம்ரிக்
ana	அனா
anaamika	அனாமிக்கா
anakin	அனாகின்
analiese	அனாலியஸ்
anand bhavan	ஆனந்த் பவன்
ananyaj	அனன்யாஜ்
anapay	அனாபாய்
anbar	அன்பர்
anbarasu	அன்பரசு
andheri	அந்தேரி
anisa	அனீஸா
aniteja	அனிதேஜா
anjalee	அஞ்சலீ
ankara	அங்கரா
