a bomb	เอบอมบ์
a level	เอเลเวล
a-net	เอเน็ต
a.d.	เอดี
a.e.	เออี
a.g.p.	เอจีพี
a.m.	เอเอ็ม
a.p.	เอพี
aa	อาอา
aaf	เอเอเอฟ
aagaard	อาการ์ด
aalto	แอลโต้
aamodt	อามัดต์
aaron	แอรอน
aarons	แอเริ่นส์
aaronson	อาเรินสัน
aars	อาร์ส
ab	แอ๊บ
ababa	อาบาบา
abaco	แอบาโก
abate	อเบต
abbas	อับบาส
abbasid	อับบาซิด
abbate	อับเบท
abbe	แอ็บบี้
abbett	เอิบเบ็ต
abbey	แอบบีย์
abbiati	แอ็ปบีอาติ
abbie	แอ็บบี้
abbot	แอ็บเบิต
abbott	แอบบอตต์
abboud	เอิปบูด
abby	แอ็บบี้
abdal	อับดัล
abdallah	แอ็บแดล่า
abdellah	แอ็บเดลล่า
abe	เอบ
abegg	เออบิก
abel	อาเบล
abele	เอบิล
abeles	เอบิลส์
abelian	อาบีเลียน
abell	เอเบิล
abello	แอเบโล้
abels	เอเบิลส์
abelson	แอบิลสัน
abend	แอ็ปเบ็นด์
abendroth	อบินดรอท
abercorn	แอเบอร์คอร์น
abercrombie	แอเบอร์ครอมบี
aberdare	แอ็บเบอร์แดร์
aberdeen	แอเบอร์ดีน
aberdour	แอเบอร์ดอร์
abergavenny	แอ็บเบอร์เกิฟเวนนี่
aberle	แอ็บเบอเริล
abernathy	แอเบอร์แน็ตที่
abernethy	แอเบอร์เนที่
abert	แอ็บเบิร์ต
abidjan	อาบิดจัน
abigail	แอบิเกล
abijah	เออบิจา
abilene	แอบิลีน
ablakov	อับลาคอฟ
able	เอเบิล
abler	เอเบอเลอร์
ables	เอเบิลส์
ablon	เอิบเลิน
abner	แอ็บเนอร์
abney	แอบนีย์
abnor	แอ็บเนอร์
aboyne	เอิบบอยน์
abraham	อับราฮัม
abrahams	เอเบรอแฮมส์
abrahamson	เออแบรเฮิมสัน
abramovitz	ออบรัมเมอวิตส์
abramowitz	อบรัมเมอวิตส์
abrams	เอเบริมส์
abramson	เอเบริมสัน
abrupt	อะบรัปต์
abry	เออบรี้
abs	เอบีเอส
absaroka	แอบซาโรกา
absarokite	แอบซาโรไกต์
abshire	แอ็บไชร์
absinth	แอบซินท์
absinthe	แอบซินท์
absorb	แอบซอร์บ
absorbance	แอบซอร์แบนซ์
abstract	แอบสแตรกต์
abstraction-creation	อับสตรักซียงเกรอาซียง
absurd	แอบเซิร์ด
abt	แอ็บท์
abu dhabi	อาบูดาบี
abuja	อาบูจา
abuse	อบิวส์
aby	อาบี้
abyssinia	อะบิสซิเนีย
abzug	แอ็บซัก
ac	เอซี
ac/dc	เอซีดีซี
acacia	อะเคเชีย
academy	อะคาเดมี
academy award	อะคาเดมีอวอร์ด
acadian	อะคาเดียน
acanthite	อาแคนไทต์
acapulco	อากาปุลโก
accelerator	แอคเซเลอเรเตอร์
access	แอกเซส
accessory	แอกเซสซอรี
accident	แอกซิเดนต์
accordion	แอกคอร์เดียน
account executive	แอกเคานต์เอเซกคิวทีฟ
accra	อักกรา
ace	เอซ
acebo	เอเซอโบ
acel	เอเซิล
acer	เอเซอร์
acetate	แอซีเทต
acetic	อะซีติก
acetone	แอซิโตน
acetylcholine	อะเซทิลโคลีน
acetylcholine esterase	อะเซทิลโคลีน เอสเทอเรส
acetylene	อะเซทิลีน
ach	เอซีเอช
achatz	แอเคิตส์
acheamenid	อะคีเมนิด
achenbach	แอ็กคินบัก
acher	แอเคอร์
acheson	แอชิสัน
achievement	อะชีฟเมนต์
achilles	อคิลลิส
achin	อาจิน
achromatic lens	อะโครมาติกเลนส์
achter	แอ็กเตอร์
acid	แอซิด
acid tar	แอซิดทาร์
acker	แอ็กเคอร์
ackerly	แอเคอร์ลี่
ackerman	แอ็กเคอร์เมิน
ackermann	แอ็กเคอร์เมิน
ackland	แอ็กเลิ่นด์
acklen	แอ็กเคอเลิ่น
ackley	แอ็กลีย์
acklin	แอ็กลิน
ackroyd	แอ็กครอยด์
acland	อักเลินด์
acme	แอกเม
acmite	แอกไมต์
acosta	อคอสต้า
acoustic	อะคูสติก
acre	เอเคอร์
acre-foot	เอเคอร์-ฟุต
acree	เออครี
acritarch	อาคริทาร์ช
acropolis	อะโครโพลิส
acrosome	อะโครโซม
acrylic	อะคริลิก
acrylic resin	อะคริลิกเรซิน
act	แอ็ก
actin	แอกทิน
acting	แอกติง
actinide	แอกทิไนด์
actinium	แอกติเนียม
actinolite	แอกทิโนไลต์
actinometer	แอกติโนมิเตอร์
actinomycetes	แอกติโนไมซีสต์
action	แอกชัน
activate	แอกทิเวต
activated sludge	แอกทิเวเต็ดสลัดจ์
active	แอกทิฟ
activist	แอกติวิสต์
activity	แอกทิวิตี
acton	แอกตัน
acu	เอซียู
acuna	อคูนา
acute	อะคิวต์
acworth	เอิกเวิร์ท
ad	แอด
ad card	เอดีการ์ด
ada	อาดา
adah	แอด้า
adair	อแดร์
adalbert	ออดอลเบิร์ต
adam	แอดัม
adamec	เออดามิก
adamellite	อะดาเมลไลต์
adami	อาดามี่
adamkus	แอ็ดเดิมคัส
adams	แอดัมส์
adams, bryan	แอดัมส์, ไบรอัน
adams, john	แอดัมส์, จอห์น
adams, john quincy	แอดัมส์, จอห์น ควินซี
adams, scott	แอดัมส์, สกอตต์
adamson	แอเดิมสัน
adank	ออดังก์
adapt	อะแดปต์
adapter	อะแดปเตอร์
adaptor	อะแดปเตอร์
adare	เออแดร์
adat	อาดัต
adb	เอดีบี
adc	เอดีซี
adcock	เอิดค็อก
addams	แอดดัมส์
addams, charles	แอดดัมส์, ชาลส์
adde	แอ็ด
adden	แอ็ดเดิ่น
adderley	เอิดเดอร์ลี่ย์
addington	แอดดิ่งเติ้น
addis	แอดดิส
addis ababa	แอดดิสอาบาบา
addison	แอดดิสัน
additive	แอดดิทิฟ
additon	เอิดดีเติ้น
ade	เอด
adela	อเดลล่า
adelaide	แอดเดิลเลด
adelbert	เออเดลเบิร์ต
adele	อเดลเล่
adelina	แอ็ดเดลลีน่า
adeline	แอ็ดเดอไลน์
adelman	แอ็ดเดิลเมิ่น
