aagaard	อาการ์ด
absurd	แอบเซิร์ด
acel	เอเซิล
additive	แอดดิทิฟ
aerobics	แอโรบิก
afc	เอเอฟซี
africanus	แอฟริกาเนิส
agatha	แอกาทา
agron	แอ็กรอน
ahalt	ออฮอล์ต
ahti	อาตี้
airey	เอรีย์
airlie	แอร์ลี่
akst	แอ็กสต์
alers	เออเลิร์ส
alex	อะเล็กซ์
alexia	อเล็กเซีย
algal bloom	อัลกัลบลูม
aliphatic hydroxy acids	อะลิฟาทิกไฮดรอกซีแอซิด
alnwick	แอลน์วิก
alpha	อัลฟา
alsike clover	อัลไซค์โคลเวอร์
altrincham	ออลทรินเชิ่ม
alvanley	แอลวันลีย์
alzheimer	อัลไซเมอร์
amberson	แอมเบอร์สัน
ambler	แอมเบลอร์
ammerman	แอมเมอร์เมิ่น
amniote	แอมนิโอต
ampere	แอมแปร์
amphineuran	แอมฟินิวแรน
andretta	แอนเดรตต้า
angrist	แองกริสต์
anoxic	แอน็อกซิก
ansel	เอินเซล
antineutrino	แอนตินิวทริโน
antipodal	แอนติโพแดล
antonius	แอนโตนีอัส
aris	เออริส
aristotle	อาริสโตเติล
arlin	อาร์ลิ่น
armchair	อาร์มแชร์
ascot	แอสค็อต
asem	อาเซม
asset	แอสเซต
astley	แอสต์ลีย์
asynchronous	อะซิงโครนัส
ata	อาตา
atolla	อโทลา
auchincloss	ออชินคลอส
ault	ออล์ต
autistic	ออทิสติก
automation	ออโทเมชัน
avent	อเวินต์
baar	บาร์
babson	แบ็บสัน
bado	เบโด้
balch	แบลช์
balfour	บัลฟอร์
bampton	แบมป์เติ้น
banbury	แบนแบรี่
bandar seri begawan	บันดาร์เสรีเบกาวัน
bandson	แบนด์สัน
banish	แบนิช
banjul	บันจูล
bankes	แบงก์ส
barash	แบเริช
barber	บาร์เบอร์
bario	บาริโอ้
barkley, charles	บาร์กลีย์, ชาลส์
barletta	บาร์เล็ตต้า
barnhart	บาร์นฮาร์ต
bartholomeus	บาร์เทิลเลอมีเอิส
bartlett	บาร์ตลิตต์
bartley	บาร์ตลีย์
bartman	บาร์ตเมิน
basie, william	เบซี, วิลเลียม
basing	เบซิง
basketball	บาสเกตบอล
bastnaesite	บาสต์เนไซต์
bataille	บาไตย์
bateson	เบตสัน
bathurst	แบเธอร์สต์
batten	แบ็ตเทิน
bauers	เบาเอิร์ส
baumann	โบเมินน์
beaven	บีเวิ่น
beckert	เบเคิร์ต
becton	เบ็กเติ้น
bedrich	เบดริก
beer	เบียร์
beevor	บีเวอร์
belfield	เบลฟิลด์
belgium	เบลเยียม
bellerby	เบลเลอร์บี้
belli	เบลลี่
benchley	เบนช์ลีย์
benedict	เบเนดิกต์
berar	เบอราเออร์
berchtold	เบิร์กโทลด์
beres	เบียร์ส
berliner	เบอร์ลินเนอร์
bernadette	เบอร์นาเดตต์
bernardo	เบอร์นาร์โด้
bilk	บิลก์
billen	บีเลิน
billington	บิลลิงเติ้น
bining	บินิ่ง
binkley	บิงก์ลีย์
bird, larry	เบิร์ด, แลร์รี
birtwistle	เบิร์ตวีเซิล
blacker	แบล็กเคอร์
blackshaw	แบล็กชอว์
blakeman	เบล็กเมิ่น
blanch	แบลนช์
blattner	แบล็ตเนอร์
blick	บลิก
bloodhound	บลัดเฮานด์
bobst	บ็อบสต์
bodman	บ็อดเมิ่น
bogie	บุกี่
boise	บอยซี่
boker	โบเคอร์
boland	โบเลินด์
bolger	โบลเจอร์
bolin	โบลิ่น
bolyai	โบลไย
bonar	โบนาร์
bonnell	บันเนิล
bonsignore	โบนซิกนอรี่
booker	บุ๊คเคอร์
bookout	บุคเคาต์
bora	โบรา
border	บอร์เดอร์
borgnine	บอร์กไนน์
bori	บอรี่
boson	โบซอน
boulware	เบาล์แวร์
boustany	บูสตานี่
bouton	เบาเติ่น
bower	บาวเออร์
brachiopod	แบรคิโอพอด
bradley	แบรดลี่ย์
bradstreet	แบรดสตริต
bradt	แบรดต์
braid	เบรด
braintree	เบรนทรี
bramley	แบรมลีย์
bratt	แบร็ต
brattain	เบริตเทน
braunschweiger	บรอนชไวเกอร์
breadalbane	เบรดแดลเบิ่น
bremer	บริเมอร์
bresler	เบรสเลอร์
brickman	บริกเมิ่น
broadus	โบรเดิส
bronzite	บรอนไซต์
brucite	บรูไซต์
bruh	บรา
brumley	บรัมลีย์
brunei	บรูไน
brunswick stew	บรันสวิกสตู
buchsbaum	บักส์เบาม์
budge	บัจ
buell, marjorie	บูเอลล์, มาร์จอรี
bujumbura	บูจุมบุรา
bukittinggi	บูกิตติงกิ
bullett	บุลลิต
bulow	บิวโล
bundy	บันดี้
bunn	บัน
burbank, luther	เบอร์แบงก์, ลูเทอร์
burchfield	เบอร์ชฟิลด์
buren	บิวเรน
burk	เบิร์ก
burnell	เบอร์เนิล
burnley	เบิร์นลี่ย์
burr	เบอร์
burrill	บอร์เริล
burrus	บุร์เริส
burstein	เบอร์สไตน์
buse	บิวส์
bushell	บุเชิล
bushing	บุชชิง
business	บิซิเนส
buzzell	เบิสเซล
byder	ไบเดอร์
byelorussia	เบโลรุสเซีย
byron	ไบรอน
caddy	แคดดี
caffey	แคฟฟีย์
cainozoic	ไคโนโซอิก
callaghan	แคลเลอแฮน
callanan	แคลเลอเนิ่น
callen	แคลเลิน
callipers	แคลลิเปิร์ส
calp	แคล์ป
campo cerrado	กัมโปเซร์ราโด
can	แคน
canavan	แคนเนอแวน
capell	คอเปล
capella	เคิปเปิลล่า
caro	คาโร
carpendale	คาร์เพนเดล
carr, vikki	คาร์, วิกกี
carraway	แคเรอเวย์
carrigan	แคร์ริงเกิ่น
carron	แคร์เริ่น
carry	แครี
carson	คาร์สัน
caryatid	แคริอาทิด
cashmore	แคชมอร์
cassiopeia	แคสสิโอเปีย
castlereagh	คาสเซิลเร
catena	แคทินา
catherine	กาเตอรีน
cattier	แคตทีเออร์
caudal	คอดเดิล
caustic soda	คอสติกโซดา
cavallo	เคอแวลโล
cbr	ซีบีอาร์
cercone	เชอร์โคนี่
cerium	ซีเรียม
chalcanthite	คาลแคนไทต์
challinor	แชลลีเนอร์
chaloner	ชาเลอเนอร์
chanter	แชนเตอร์
charleville	ชาร์ลวิลล์
cheer	เชียร์
chickasaw	ชิกกาซอว์
chloritoid	คลอริทอยด์
churchill	เชอร์ชิลล์
cigarette	ซิกาแรต
cim	ซีไอเอ็ม
cinchona	ซิงโคนา
circle	เซอร์เคิล
clam	แคลม
clarey	แคลรีย์
clasen	เคลเซิ่น
claudius	คลอดิอัส
clawson	คลอสัน
cleghorn	เคลกฮอร์น
clench	เคลนช์
cleven	คลีเวิ่น
clitellum	ไคลเทลลัม
cloete	โคลอิต
cobra	โคบรา
cocos	โคคอส
coffee	คอฟฟี่
collagen	คอลลาเจน
collard	คอลเลิร์ด
collin	คอลลิน
collum	คอลเลิ่ม
coman	โคเมิ่น
combat	คอมแบต
communication	คอมมิวนิเคชัน
conch	คองช์
content	คอนเทนต์
cornelius	คอร์เนลีอุส
count	เคานต์
countdown	เคานต์ดาวน์
crossbar	ครอสส์บาร์
crown colony	คราวน์โคโลนี
cup cake	คัปเค้ก
cvp	ซีวีพี
cyr	ซีร์
dachi	แดชี่
daigle	เดเกิล
daisy	เดซี
dakin	เดกคิ้น
dali, salvador	ดาลี, ซาลวาดอร์
damascus	ดามัสกัส
daniells	แดนีเอลส์
dari	ดารี
dartmoor	ดาร์ตมัวร์
david r. krathwohl	เดวิด อาร์. แครทโวล
dearth	เดิร์ท
debs	เดบส์
deccan	เดกกัน
deland	ดีเลิ่นด์
demos	เดโมส
den	เดน
depinet	ดีพีเนต
derby	ดาร์บี
derr	แดร์
determinism	ดีเทอร์มินิซึม
detrick	เดทริก
dettmar	เดตมาร์
dibble	ดิ๊บเบิล
dickson	ดิกสัน
digastric	ไดแกสทริก
dimmer	ดิมเมอร์
din	ดิน
dinger	ดิงเงอร์
dionysius	ไดเออนิเซียส
dishroom	ดีชรูม
dnb	ดีเอ็นบี
doane	ดาวน์
doble	โดเบิ่ล
dollinger	ดอลลีเงอร์
domain	โดเมน
dominick	ดอเมอนิก
donat	โดเนิต
donnelly	ดอนเนิลลี่
dorion	ดอรีออน
dott	ด็อตต์
doubles	ดับเบิลส์
dower	เดาร์
doyle, arthur conan	ดอยล์, อาร์เทอร์ โคนัน
dreyfuss	เดรเฟิส
dring	ดริง
duin	ดูน
dulan	ดูเลิ่น
dulce	ดัลซ์
dumbarton	ดัมบาร์ตัน
duplan	ดูเพลน
dupre	ดัปเปอร์
durham	เดอรัม
dustin	ดัสติน
dyal	ไดเอิล
e.t.	อีที
eade	อิด
eadweard	อิดเวเอิร์ด
east	อีสต์
eau de cologne	โอเดอโคโลญ
ebby	เอบบี้
edita	เอดีต้า
efrem	อีเฟริม
egolf	เอโกล์ฟ
eielson	อิลสัน
einhorn	ไอน์ฮอร์น
element	เอเลเมนต์
elsner	เอลส์เนอร์
embolite	เอมโบไลต์
emerson	เอเมอร์สัน
emic	อีมิก
emis	เอมิส
emmert	เอมเมิร์ต
englefield	อิงล์ฟิลด์
entertain	เอ็นเตอร์เทน
entity	เอนทิตี
epnl	อีพีเอ็นแอล
erb	เอิร์บ
ergonomics	เออร์โกโนมิกส์
erlang	เออร์แลง
ernestine	เออร์เนสตีน
ervine	เอไวน์
essert	เอสเซิร์ต
essex	เอสเซกซ์
estell	เอสเทิล
