aachen	a khen
aalto	an tô
aar	a rơ
abailard	a bê la
abaya	a ba da
abbeville	áp bơ vin
abel	a ben
abkhazia	áp kha gi a
abomey	a bô mây
abraham	a bờ ra ham
abrams	a bờ ram xơ
abu	a bu
abuja	a bu da
accad	ác cát
accra	ác ra
acha	a cha
acheule	a chơn
achille	a sin
aconcagua	a côn ca goa
acropolis	ác rô bô lít
actium	ác ti um
adamaoua	a đa ma ua
adamkiewicz	a đam ki ê vích
adana	a đa na
adda	a đa
addis	ét đít sờ
addison	a đi xơn
aden	a đen
adenauer	a đê nao ơ
adennes	ác đê nơ
ader	a đơ
adorno	a đốc nô
adriatique	a đờ ri a tích
advaita	át vai ta
afar	a pha
afghanistan	áp ga ni xờ tan
agamemnon	a ga mem nông
agassiz	a gát xi
agricola	a gờ ri cô la
agrippine	áp ri phin
aguinaldo	a ghi nan đô
ahlgren	an gơ ren
ahmad	ác mét
ahura	a hu ra
ailen	ai len
airlangga	e rờ lang ga
ajanta	a gian ta
ajmatov	ai ma tốp
ajmir	ai mi a
akademos	a ca đê mốt
akan	a can
akbar	ác ba
akkad	a cát
akmola	ác mô la
aksum	ác xum
akureyri	a cu rây ri
al	an
alabama	a la ba ma
alain	a lanh
alajuela	a la giu ê la
alatau	a la tau
alaungpaya	a la ung ba da
albeniz	an bê nít
albert	an bớt
alberti	an béc ti
aldan	an đan
alder	an đơ
aldrin	an đờ rin
alegre	a lê gờ ri
alegria	a lê gờ ri a
aleppo	a lép bô
aleut	a lê út
aleutian	a lêu ti an
alexandre	a léch xăng đơ
alexandrie	a lách xăng đờ ri
alfieri	an phi ê ri
alfonso	an phông sô
alfred	an phờ rét
algeria	an giê ri a
ali	a li
alisjahbana	a li sa ba na
alison	a li xơn
allah	a la
allende	a li en đê
alma	an ma
almadies	an ma đi
almaty	an ma ti
almeida	an mây đa
almohades	an mô hát
alonso	a lông xô
alonzo	a lôn giô
alpi	an bi
althusser	an thút sơ
altyn	an tin
alvarez	an va rét
amado	a ma đô
amager	a ma gơ
amalie	a ma li
amalienborg	a ma li en bót
amami	a ma mi
amaro	a ma rô
amata	a ma ta
amaterasu	a ma tê ra su
amazaspovich	a ma gia xờ bô vích
amazon	a ma giôn
ambon	am bon
amenophis	a mê nô phít
amerling	a mơ linh
amiel	a mi en
amman	am man
ammon	am mon
amoghavajra	a mô ga vai ra
amon	a môn
amstel	am xờ ten
amsterdam	am xờ téc đam
amundsen	a mun xen
amur	a mu
anadolu	a na đô lu
anadyrskij	a na đa sờ ki
ananda	a nan đa
anawrahta	a nao ra ta
anaxagoras	a na xa gô rát
anaxagore	a na xa gô rơ
anaximandre	a na xi man đờ rơ
anaximandros	a na xi man đờ rốt
anaximenes	a na xi mê nét
anbani	an ba ni
ancohuma	an cô hu ma
andalucia	an đa lu xi a
andaman	an đa man
anders	an đơ
andersen	an đéc xen
anderson	an đơ sơn
andokines	an đô ki nét
andrea	an đờ rê a
andreevna	an đờ rép na
andrianovich	an đờ ri a nô vích
angara	an ga ra
angel	en giô
angeles	an giơ lét
angola	an gô la
angra	an gờ ra
anguilla	an quy la
ankara	an ca ra
anna	an na
annecy	an ne xi
annibal	a ni ban
annunziata	a nun xi a ta
anokhin	a nô khin
anouilh	a nu i
anselme	an xen mơ
antilles	an ti lét
antiokheia	an ti ô khây a
antiokhos	an ti ô khốt
antofagasta	an tô pha gát sờ ta
antonescu	an tô nê xờ cu
antonio	an tô ni ô
antonioni	an tô ni ô ni
antonius	an tô ni út
anvers	an vê
aoral	a ô ran
apennin	a ben nin
aphrodite	a phờ rô đít
apia	a bi a
apo	a bô
apollinaire	a bô li ne
apollo	a bô lô
apollon	a bô lông
appalachian	a ba lê chan
appalachians	áp ba la chi an
appell	a ben
appennine	a ben nin
aquincum	a kin cum
aquino	a ki nô
arabes	a rập
arafat	a ra phát
arafura	a ra phu ra
arago	a ra gô
aragon	a ra gông
arakan	a ra can
araks	a rác xơ
aral	a ran
ararat	a ra rát
aras	a rát
archer	a sơ
archimedes	ác si mét
arcole	ác côn
ardenne	ác đen
argentina	ắc hen ti na
argos	ác gót
arguedas	ác ghê đát
arikamedu	a ri ka mê đu
arin	a rin
ariosto	a ri ốt sờ tô
ariq	a rích
aristippos	a rít ti bót
aristote	a rít tốt
arkansas	a can sát
arkhangensk	ác khan gien sờ
arkhipov	ác khi bốp
arman	ác man
armellini	ác mê li ni
armenia	ác mê ni a
arp	ác bơ
arras	a ra xơ
artois	ác tô a
aru	a ru
aruba	a ru ba
arvad	a rơ vát
aryan	a ri an
asanga	a san ga
ascoli	a xờ cô li
aseb	a xép
asia	a xi a
asmara	a xờ ma ra
asplund	a xơ phờ lun
assam	a xam
assouan	át san
assour	a xua
assyrie	a si ri
astana	át sờ ta na
asterik	át sờ tê rít
astrakhan	a xờ tơ ra khan
asturias	át sờ tu ri át
asuncion	a xun xi ôn
at	át
atacama	a ta ca ma
atafu	a ta phu
atahualpa	a ta hu an ba
atakora	a ta cô ra
athabasca	a tha bát ca
