accra	ác ra
alajuela	a la giu ê la
alaungpaya	a la ung ba da
allende	a li en đê
almaty	an ma ti
amazon	a ma giôn
ambon	am bon
amenophis	a mê nô phít
anadolu	a na đô lu
anbani	an ba ni
andersen	an đéc xen
andrianovich	an đờ ri a nô vích
angara	an ga ra
angel	en giô
annibal	a ni ban
aphrodite	a phờ rô đít
appell	a ben
arakan	a ra can
araks	a rác xơ
ardenne	ác đen
arman	ác man
asanga	a san ga
aseb	a xép
asplund	a xơ phờ lun
assyrie	a si ri
asuncion	a xun xi ôn
at	át
atacama	a ta ca ma
atahualpa	a ta hu an ba
attica	át ti ca
augustus	au gu xờ tút
austerlitz	ao xờ téc lít
avignon	a vin hông
baargeld	bác ghen
bacchus	bác cớt
bachelard	ba sơ la
badminton	bát min tơn
baharu	ba ha ru
bakunin	ba cu nin
balabac	ba la bác
balaton	ba la tơn
balearic	ba lê a ri
balzac	ban giắc
bandama	băng đa ma
bandung	ban đưng
bangweulu	bang gu ê u lu
barbados	bắc ba đốt
barber	bác bơ
baroja	ba rô gia
barthes	bát thơ
bartolomeo	bác tô lô mê ô
basel	ba seo
bassac	bát xắc
basse	ba sơ
bawerk	ba véc
bayard	bây át
beauchamp	biu sam
becquerel	béc que reo
begichev	bê ghi chép
bela	be la
belyj	bê li
berezina	bê rê gi na
bermuda	béc mu đa
bernini	béc ni ni
bernshtejn	bơn sờ tê in
bernstein	bơn sờ tê in
bessemer	bét sem mơ
beti	bê ti
bezout	bê giu
bhavabhuti	bờ ha va bờ hu ti
biarritz	bi a rít
bilbao	bin bao
biot	bi ốt
birmingham	bớt minh ham
blagoveshchensk	bờ la gô vét sen cơ
blankenburg	bờ lan ken bớt
blok	bờ lốc
boden	bô đen
bodrum	bô đờ rum
bongor	bon gô
borel	bô ren
borisov	bô ri xốp
borodin	bô rô đin
boroma	bô rô ma
bosphore	bốt pho
boswash	bô sờ quát
botkin	bốt kin
botnie	bốt ni
botticelli	bô ti xe li
bouar	bua
boulez	bu lê giơ
bourdelle	buốc đen
boutros	bu trốt
bowen	bô quen
braille	bờ rai
bran	bờ ran đô
brazzaville	bờ ra gia vin
bremen	bờ rê men
breuer	bờ rơ
bristol	bờ ri xờ tơn
britten	bờ rít tơn
bromlej	bờ rôm lây
bruegel	bờ ru ghen
brugge	bờ ruy gơ
buchanan	biu ca nơn
buchenwald	bu khen van
buffalo	ba phơ lâu
bunjakovskij	bun gia kốp sờ ki
burchett	bơ chét
burly	bơ ly
butenandt	bu tơ nan
butiaba	bu ti a ba
cairo	cai rô
callao	ca lao
caloocan	ca lô ô can
camus	ca mút
canberra	can bơ rơ
cannes	can
caparra	ca ba ra
carlyle	ca lai
carolingiens	ca rô lin gien
