ثﻡیﻥ	samien
خﺍی	khai
خﺍﻥ	khan
خﻝیﻝ	kalil
خﻭری	khoury
ذک	zeke
ذکی	zaki
ذیﻝیﻥگﺕﻥ	billington
ذﻭﻝکیﺍ	zuleika
رزیﻥﺕ	resyntje
رزﻥﺕﺝی	resyntje
رزﻭﻝﻭرﺕ	resolveert
رککﺍﻩ	raqqah
رکﺍﻩ	raqqah
رکﻭیﻡﻭر	roquemore
رگیﻥﺍﻝﺩ	reginald
ریرﺩﺍﻥ	reirdan
ریزﻭﻝﻭرﺕ	resolveert
ریپ	reap
ریچﺍرﺩ	pritchard
ریچﺍرﺩﺱﻥ	richardson
ریچﺍرﺩﺱﻭﻥ	richardson
ریچﺕر	richter
ریچﻝﻑ	rijckloff
ریکﺍ	rykaa
ریکﺍرﺩ	rijkaard
ریکﻝﺍﻑ	rijckloff
ریگ	brigje
ریگﻝی	wrigley
ریگﻝﻩ	reagle
ریگﻥﺍﻝﺩ	reginald
رییﺍ	rayya
رییﺍﺩ	riyad
ریﺍ	rayya
ریﺍﺩ	riyad
ریﺕزگرﺕ	ritsgert
ریﺕیﺱگرﺕ	ritsgert
ریﺕﺱگرﺕ	ritsgert
ریﺝکﺍرﺩ	rijkaard
ریﺝکﻝﻭﻑ	rijckloff
ریﺝﺱﻭیک	rijswijk
ریﺝﺱﻭیﺝک	rijswijk
ریﺝﻝﺍﻑ	rijckloff
ریﺡﺍﻥ	rehan
ریﺡﺍﻥﺍ	rihana
ریﺡﺍﻥﻩ	rihana
ریﺩ	reade
ریﺩی	reedy
ریﺩیﻥ	redin
ریﺩﺍ	raidah
ریﺩﻝﻑ	roedolf
ریﺩﻥﺏرچ	radenburch
ریﺩﻥﺏرگیرﺏرﺍک	radenburgerabroek
ریﺩﻥﺏرگیرﺏرﻭک	radenburgarebroke
ریﺩﻩ	raidah
ریﺯ	rees
ریﺯیﻥگ	rising
ریﺱ	reece
ریﺱک	risk
ریﺱﺍﻝﻭیرﺕ	resolveert
ریﺱﺕیﻥﺕﺝی	kristijntje
ریﺱﺝی	krisje
ریﺱﺩﺍﻡ	rysdam
ریﺱﻝﻭرﺕ	resolveert
ریﺱﻭیک	rijswijk
ریﺱﻭﻝﻭرﺕ	resolveert
ریﺱﻭﻝﻭﻭرﺕ	resolveert
ریﺵﺕر	richter
ریﻑ	reef
ریﻝی	riley
ریﻡر	reimer
ریﻡپﻝ	rimple
ریﻡیﻝ	rymill
ریﻥ	rhine
ریﻥگﻥﺍﻝﺩﺍ	ringenalda
